semester,day,room,building,teacher,hours,course_name,school_and_faculty,course_type,course_number
ב',ד',411 ,שרת,מר דותן דרור,1400 - 1200,תהליכי עיבוד מספרים ולקויות למידה במתמטיקה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-4218-01
ב',ג',405 ,רקנאטי,"ד""ר גולדשטיין ענת",1600 - 1400,יסודות מערכות מידע לחשבונאים,ניהול/חשבונאות ,שיעור,1211-3116-02
א',ד',127 ,עבודה סוציאלית,"ד""ר קורין-לנגר נורה",1600 - 1400,התיאוריה של הפרקטיקה ב',עבודה סוציאלית ,שיעור,1110-2818-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",כתבי עת תואר שני,משפטים ,"עבודה מע
עבודה מע",1411-6880-30
"א'
ב'","ג'
ג'","315 
315 ","מאירהוף ב.א'
מאירהוף ב.א'",מר ברזין איגור,"1300 - 1000
1500 - 1200",שיטת סטניסלבסקי לבמאים,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-1362-01
ב',ד',001 ,רוזנברג,פרופ גולני מרדכי,1800 - 1600,צרות בחצר האחורית: מאבקו של היישוב היהודי בתקופת המנדט בפורשים מהמרות הלאומית,כלים שלובים ,שיעור,1880-0631-01
"א'
א'","ג'
ה'","107 
207 ","כיתות דן דוד
כיתות דן דוד",גב' זלצר-אלפסי מוניק,"1200 - 1000
1600 - 1400",אנגלית מתקדמים ב- ' מדעי החיים,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-3314-01
ב',א',    ,None,"ד""ר מישורי דניאל",1100 - 0900,Internship,לימודי הסביבה ,שיעור,0920-6400-01
א',ה',410 ,שרת,פרופ שלו לילך,1400 - 1200,נוירופסיכולוגיה של קשב  וליקויי  קשב,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-4219-01
א',ב',405 ,רקנאטי,גב' אונגר רגינה,2000 - 1600,ביקורת דוחות כספיים,ניהול/חשבונאות ,שיעור,1211-3311-01
א',א',001 ,עבודה סוציאלית,"ד""ר לוין ליה",1000 - 0800,שירותי רווחה אישיים ומערכות להבטחת הכנסה,עבודה סוציאלית ,שיעור,1110-2819-01
א',ד',203 ,טרובוביץ משפ,"ד""ר רוסו דותן",1800 - 1600,הליך המעצר - היבטים עיוניים ומעשיים,משפטים ,שיעור,1411-6887-01
ב',ג',117א,מכסיקו,פרופ קינר(קיסינגר) גד,1700 - 1400,כתיבה,ניהול/אמנות התאטרון ,עבודה מע,0811-1487-01
ב',ג',    ,None,"ד""ר מזרחי נועם",1730 - 1600,"פרשה בשבוע: מפגשים עם חוקרים, יוצרים ואנשי רוח על פרשת השבוע",כלים שלובים ,שיעור,1880-0632-01
"א'
א'","ב'
ד'","207 
107 ","כיתות דן דוד
כיתות דן דוד",גב' זלצר-אלפסי מוניק,"1600 - 1400
1400 - 1200",אנגלית מתקדמים ב- ' מדעי החיים,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-3314-02
א',ב',106 ,לימודי הסביבה,"ד""ר ענבר נמרוד",1200 - 1000,Physical and hydrological aspects of transboundary water resources management,לימודי הסביבה ,שיעור,0920-6420-01
א',ה',332 ,שרת,"ד""ר אייבזו שירי",1400 - 1200,ניהול עצמי ושליטה עצמית,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-4220-01
ב',ג',302 ,כיתות דן דוד,מר סיון רוני,1800 - 1400,ביקורת דוחות כספיים,ניהול/חשבונאות ,שיעור,1211-3311-02
ב',ד',055 ,עבודה סוציאלית,"ד""ר קורין-לנגר נורה",1000 - 0800,מעשה ההתערבות,עבודה סוציאלית ,שיעור,1110-2820-01
ב',ב',303 ,טרובוביץ משפ,פרופ מאוטנר מנחם,1900 - 1600,דתיות והמדינה הליברלית,משפטים ,סמינר,1411-6914-01
"א'
ב'","ה'
א'","315 
315 ","מאירהוף ב.א'
מאירהוף ב.א'",גב' קרמסקי יעל,"1500 - 1200
1900 - 1600",יסודות הבימוי,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-1488-01
ב',ב',282 ,גילמן,פרופ ליפשיץ עודד,1400 - 1200,"עידן האימפריות - יהודה תחת שלטון אשור, בבל ופרס",כלים שלובים ,שיעור,1880-0633-01
"ב'
ב'","ב'
ה'","207 
207 ","כיתות דן דוד
כיתות דן דוד",גב' זלצר-אלפסי מוניק,"1800 - 1600
1000 - 0800",אנגלית מתקדמים ב- ' מדעי החיים,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-3314-04
ב',ה',106 ,לימודי הסביבה,"ד""ר ליפקין קלייב דוד",1600 - 1400,Policy and Political Aspects of Transboundary Water Resources Management,לימודי הסביבה ,שיעור,0920-6421-01
ב',ה',105 ,כיתות דן דוד,פרופ שלו לילך,1400 - 1200,קשב ולמידה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-4311-01
א',א',002 ,כיתות דן דוד,מר גרינברג גל,1900 - 1600,"מסוי מקרקעין ומע""מ",ניהול/חשבונאות ,שיעור,1211-3346-01
ב',ד',053 ,עבודה סוציאלית,"ד""ר ויינברג-קורניק גליה",1000 - 0800,מעשה ההתערבות,עבודה סוציאלית ,שיעור,1110-2820-02
ב',ד',303 ,טרובוביץ משפ,פרופ רוזן צבי יששכר,1800 - 1600,"משפט, סביבה ואנרגיה - סדנה",משפטים ,סדנה,1411-6923-01
ב',א',211 ,מכסיקו,"ד""ר בן-שאול דפנה",1200 - 1000,מבט על תפקיד הצופה,אמנויות/אמנות התאטרון ,שיעור,0811-1545-01
ב',ה',001 ,רוזנברג,פרופ רז יעקב,1800 - 1600,"החוויה המיסטית - רוח, שגעון וייחוד אירוטי בקיום האנושי",כלים שלובים ,שיעור,1880-0634-01
"א'
א'","א'
ד'","205 
201 ","כיתות דן דוד
כיתות דן דוד","ד""ר סורלוביץ נטליה","1600 - 1400
1700 - 1500",אנגלית מתקדמים ב' - סיעוד,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5344-01
א',ב',106 ,לימודי הסביבה,גב' ברכיה ולרי אליאן,1400 - 1200,Environmental Policy and Sustainable Development,לימודי הסביבה ,שיעור,0920-6430-01
א',ד',307 ,שרת,"ד""ר רינגולד דליה",1400 - 1200,אינטראקציה מבוגר-ילד התפתחות השפה כמערכות דינאמיות,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-4501-01
ב',ה',002 ,כיתות דן דוד,מר אהרונוביץ שי,1900 - 1600,"מסוי מקרקעין ומע""מ",ניהול/חשבונאות ,שיעור,1211-3346-02
ב',ד',150 ,עבודה סוציאלית,גב' זקס אילנה,1000 - 0800,מעשה ההתערבות,עבודה סוציאלית ,שיעור,1110-2820-03
"א'
ב'","ד'
ד'","202 
202 ","טרובוביץ משפ
טרובוביץ משפ","פרופ ברונר זהבי זוזה
גב' הבסי-אהרוני יעל לורה","1800 - 1600
1800 - 1600",התכנית לקידום זכויות ניצולי שואה וזקנים,משפטים ,"עבודה מע
עבודה מע",1411-6939-01
ב',ב',209 ,מכסיקו,"ד""ר ליפשיץ יאיר",1200 - 1000,תאוריות וביקורת:גישות תרבותיות-חברתיות,אמנויות/אמנות התאטרון ,שיעור,0811-2100-01
ב',א',103 ,רוזנברג,פרופ שביט יעקב,1800 - 1600,יהודים ומדע יהודים במדע,כלים שלובים ,שיעור,1880-0635-01
"ב'
ב'","ב'
ד'","102 
102 ","מקצוע בריאות
מקצוע בריאות",גב' לפיד צחית,"1800 - 1600
1600 - 1400",אנגלית מתקדמים ב' - סיעוד,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5344-05
ב',ד',106 ,לימודי הסביבה,"ד""ר נוה דניאל",1400 - 1200,Changes in Ways of Perceiving the Environment,לימודי הסביבה ,שיעור,0920-6450-01
"א'
ב'","ד'
ד'","332 
332 ","שרת
שרת",פרופ פרידמן נעמה,"1800 - 1600
1800 - 1600",דיסלקסיות התפתחותיות ונרכשות,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4502-40
א',ד',405 ,רקנאטי,"עו""ד גנוד יחיאל (רוני) אהרון",1800 - 1600,"מסוי מקרקעין ומע""מ",ניהול/חשבונאות ,תרגיל,1211-3346-10
ב',ב',127 ,עבודה סוציאלית,"ד""ר סולימני אעידן יפית",1600 - 1400,ילדים בסיכון,עבודה סוציאלית ,שיעור,1110-2821-01
א',ו',203 ,טרובוביץ משפ,מר מנור עמית,1130 - 1000,אכיפה פרטית בשוק ההון - תובענות ייצוגיות ונגזרות,משפטים ,שיעור,1411-6956-30
א',א',206א,מכסיקו,"ד""ר ליפשיץ יאיר",1200 - 1000,תולדות הדרמה והתאטרון מהמאה ה-17 ועד איבסן,הנדסה/אמנות התאטרון ,שיעור,0811-2136-01
ב',ב',102 ,רוזנברג,פרופ בת זאב שילדקרוט חוה,1800 - 1600,מדוע שפות משתנות?,כלים שלובים ,שיעור,1880-0636-01
"ב'
ב'","ב'
ד'","103 
111 ","מקצוע בריאות
מקצוע בריאות",גב' סוסמן אב-רון אביבה,"1800 - 1600
1600 - 1400",אנגלית מתקדמים ב' - סיעוד,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5344-06
ב',ב',302 ,לימודי הסביבה,"ד""ר פרידקין שמעון",1600 - 1400,Understanding Environmental Data,לימודי הסביבה ,שיעור ות,0920-6480-01
"א'
ב'","ד'
ד'","324 
308 ","שרת
שרת","ד""ר מיכאל-מכלוף רינת","1530 - 1400
1330 - 1200",שיקום תקשורתי  במסגרת החינוכית,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4508-40
ב',א',002 ,כיתות דן דוד,מר ג'ורנו גיא,1800 - 1600,"מסוי מקרקעין ומע""מ",ניהול/חשבונאות ,תרגיל,1211-3346-20
ב',א',127 ,עבודה סוציאלית,"ד""ר כץ כרמית-לבנה",1000 - 0800,ילדים בסיכון,עבודה סוציאלית ,שיעור,1110-2821-02
ב',ג',204 ,טרובוביץ משפ,"ד""ר ארידור בר-אילן יעל",1800 - 1600,ליטיגציה תאגידית,ניהול ,שיעור,1411-6964-30
א',ד',208 ,מכסיקו,"ד""ר הררי דרור",1200 - 1000,מבוא לתיאטרון מודרני,הנדסה/אמנות התאטרון ,שיעור,0811-2137-01
ב',א',    ,None,פרופ אריאל יואב,1800 - 1600,פסיפס פילוסופי ודתי בראייה מושווה,כלים שלובים ,שיעור,1880-0637-01
"ב'
ב'","ב'
ד'","104 
104 ","מקצוע בריאות
מקצוע בריאות","ד""ר ששון אילת","1800 - 1600
1600 - 1400",אנגלית מתקדמים ב' - סיעוד,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5344-07
ב',ד',309 ,שרת,"ד""ר זית זיידמן ענת",1400 - 1200,לקויות על הרצף האוטיסטי,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-4518-01
א',א',405 ,רקנאטי,מר דנוס אבי,1600 - 1400,בעיות מתקדמות בחשבונאות א',ניהול/חשבונאות ,שיעור,1211-3807-01
ב',ד',118 ,עבודה סוציאלית,"ד""ר חממה ליאת",1400 - 1200,הגישה ההתנהגותית קוגניטיבית,עבודה סוציאלית ,שיעור,1110-2822-01
ב',ו',301 ,טרובוביץ משפ,פרופ שוהם שלמה,0945 - 0815,מדעים פורנזיים,משפטים ,שיעור,1411-6973-30
ב',ד',213 ,מכסיקו,"ד""ר בן-שאול דפנה",1000 - 0800,תאוריות וביקורת:תאוריות לינגוויסטיות ומעבר להן,אמנויות/אמנות התאטרון ,שיעור,0811-2138-01
ב',ג',205 ,כיתות דן דוד,"ד""ר גינת דוד",1800 - 1600,עניין של נקודת מבט - חשיבה יצירתית במתמטיקה,כלים שלובים ,שיעור,1880-0703-01
"ב'
ב'","ב'
ד'","110 
110 ","מקצוע בריאות
מקצוע בריאות",  ,"1800 - 1600
1600 - 1400",אנגלית מתקדמים ב' - סיעוד,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5344-08
"א'
ב'","None
None","    
    ","None
None","ד""ר דניאלס בלטוש שירי","None
None",ייעוץ קצר מועד בבית הספר,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4523-40
ב',ג',303 ,רקנאטי,מר גולדברג דוד,1400 - 1200,בעיות מתקדמות בחשבונאות א',מדעי החיים/חשבונאות ,שיעור,1211-3807-02
"א'
ב'","ב'
ב'","126 
126 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר קורין-לנגר נורה","1200 - 1000
1200 - 1000",מיומנויות התערבות ג: התערבות והערכתה,עבודה סוציאלית ,"סמינר
סמינר",1110-3016-01
"ב'
ב'","ג'
ג'","301 
301 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר תירוש יופי","1200 - 1000
1400 - 1200",אפליה,משפטים ,"שיעור
שיעור",1411-6987-01
א',ב',209 ,מכסיקו,"ד""ר ליפשיץ יאיר",1400 - 1200,מבוא לתיאטרון היהודי והעברי,אמנויות/אמנות התאטרון ,שיעור,0811-2202-01
א',None,    ,None,  ,None,סיפור העין: המבט באמנות,כלים שלובים ,שיעור,1880-0801-01
א',א',    ,None,גב' דבורקין לריסה,1130 - 0815,אנגלית מתקדמים ב- ' הפרעות בתקשורת,שפות זרות / אנגלית ,שיעור ות,2171-5354-01
"א'
ב'","ד'
ד'","308 
308 ","שרת
שרת",פרופ ישראלאשוילי משה,"1800 - 1600
1800 - 1600",הסתגלות חיובית,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4528-40
א',ב',406 ,רקנאטי,מר ברנשטיין בן,1200 - 1000,בעיות מתקדמות בחשבונאות א',ניהול/חשבונאות ,תרגיל,1211-3807-10
"א'
ב'","ב'
ב'","124 
124 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר כץ כרמית-לבנה","1200 - 1000
1200 - 1000",מיומנויות התערבות ג: התערבות והערכתה,עבודה סוציאלית ,"סמינר
סמינר",1110-3016-02
"א'
ב'","ג'
ג'","303 
303 ","טרובוביץ משפ
טרובוביץ משפ",פרופ זיו נטע,"1800 - 1600
1800 - 1600",זכויות אדם ואנשים עם מוגבלות - היבטים ביקורתיים,משפטים ,"סמינר
סמינר",1411-6998-01
"א'
ב'","ג'
ה'","207א
207א","מכסיקו
מכסיקו",גב' דיימונד ריבי,"2000 - 1800
1400 - 1200",תנועה וריקוד לשחקנים,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-2408-01
ב',ב',    ,None,פרופ זכאי מירה,1800 - 1600,"שמיעה והקשבה, המילה והצליל ומה שביניהם",כלים שלובים ,שיעור,1880-0802-01
"א'
א'","א'
ג'","100 
102 ","רפואה-סאקלר
מקצוע בריאות",גב' סולוביי אורית,"1200 - 1000
1000 - 0800",אנגלית מתקדמים ב- ' פיזיותרפיה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5374-01
"א'
ב'","ה'
ה'","431 
431 ","שרת
שרת","ד""ר טרש ריקרדו","1200 - 1000
1200 - 1000","מדיטציה בחינוך: תיאוריה,מחקר ופרקטיקה",חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4529-40
א',ד',303 ,כיתות דן דוד,מר קן דולב,2000 - 1800,בעיות מתקדמות בחשבונאות א',ניהול/חשבונאות ,תרגיל,1211-3807-11
"א'
ב'","ב'
ב'","123 
123 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר פרומר דפנה","1200 - 1000
1200 - 1000",מיומנויות התערבות ג: התערבות והערכתה,עבודה סוציאלית ,"סמינר
סמינר",1110-3016-03
א',ב',    ,None,פרופ בירנהק מיכאל,2000 - 1800,Information Technology Law - Workshop,משפטים ,סדנה,1411-7005-01
א',ד',206ב,מכסיקו,גב' קרמסקי יעל,1900 - 1500,מכאניזם של מופע,אמנויות/אמנות התאטרון ,עבודה מע,0811-4038-01
א',None,    ,None,"ד""ר אונגר הנריק",None,תחנות בתרבות המערב,כלים שלובים ,שיעור,1880-0804-01
"ב'
ב'","ב'
ד'","053 
053 ","עבודה סוציאלית
עבודה סוציאלית",גב' שלם שרה,"1800 - 1600
1800 - 1600",אנגלית מתקדמים ב- ' עבודה סוציאלית,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5604-01
"א'
ב'","ד'
ד'","006 
006 ","שרת
שרת",פרופ שלו לילך,"1800 - 1600
1800 - 1600",תיאוריות וסוגיות באבחון ADHD,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4530-40
ב',ד',105 ,רקנאטי,מר קן דולב,1800 - 1600,בעיות מתקדמות בחשבונאות א',ניהול/חשבונאות ,תרגיל,1211-3807-20
"א'
ב'","ב'
ב'","122 
122 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר גרין ורדה","1200 - 1000
1200 - 1000",מיומנויות התערבות ג: התערבות והערכתה,עבודה סוציאלית ,"סמינר
סמינר",1110-3016-04
ב',א',207 ,טרובוביץ משפ,גב' אהרוני מיכל,1800 - 1600,כתיבה משפטית ואקדמית,משפטים ,פרוסמינר,1411-7017-01
"א'
א'","ד'
ד'","002 
206א","קיקואין
מכסיקו","ד""ר דגני רז אירית","1600 - 1400
1800 - 1600",הדיאלוג של בקט עם האמנויות הפלסטיות,אמנויות/אמנות התאטרון ,"סמינר
סמינר",0811-4045-01
א',א',002 ,רפואה-סאקלר,פרופ רוזנברג נבו מלוין,2000 - 1800,מוזיקת שנות השישים: התהוות ומהפכה,כלים שלובים ,שיעור,1880-0805-01
"ב'
ב'","ב'
ד'","055 
125 ","עבודה סוציאלית
עבודה סוציאלית",גב' קרבץ שרון קלייר,"1800 - 1600
1800 - 1600",אנגלית מתקדמים ב- ' עבודה סוציאלית,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-5604-02
"א'
ב'","ה'
ה'","307 
307 ","שרת
שרת",פרופ ארם דורית,"1600 - 1400
1600 - 1400",סוגיות בהורות בגיל הרך,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4531-40
א',ד',252 ,רקנאטי,מר גולדברג דוד,1400 - 1200,בעיות מתקדמות בחשבונאות ב',ניהול/חשבונאות ,שיעור,1211-3808-01
"א'
ב'","ב'
ב'","121 
121 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר גוזמן בראשן ג'וליה","1200 - 1000
1200 - 1000",מיומנויות התערבות ג: התערבות והערכתה,עבודה סוציאלית ,"סמינר
סמינר",1110-3016-05
א',None,    ,None,  ,None,תחרות הצלב האדום,משפטים ,עבודה מע,1411-7030-01
ב',ד',212 ,מכסיקו,"ד""ר אהרונסון-להבי שרון",2000 - 1600,דת וחילון בתיאטרון: ימי הביניים והתיאטרון המודרני,אמנויות/אמנות התאטרון ,סמינר,0811-4046-01
ב',None,    ,None,פרופ רוזנברג נבו מלוין,None,מוזיקת שנות השישים: התהוות ומהפכה,כלים שלובים ,שיעור,1880-0805-02
"א'
א'","ב'
ד'","212 
212 ","מכסיקו
מכסיקו",גב' לפיד צחית,"2000 - 1800
2000 - 1800",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-01
"א'
ב'","ה'
ה'","105 
105 ","כיתות דן דוד
כיתות דן דוד","ד""ר בראון דקלה נחמה","1600 - 1400
1600 - 1400",בחירת מגמה בתיכון - מתיאוריה ליישום,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-4540-40
ב',ג',406 ,רקנאטי,גב' ניב בורשן גלית,1200 - 1000,בעיות מתקדמות בחשבונאות ב',ניהול/חשבונאות ,שיעור,1211-3808-02
א',ב',127 ,עבודה סוציאלית,"ד""ר לוין ליה",1400 - 1200,פרקטיקת מדיניות בעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-3020-01
"א'
א'","ב'
ו'","304 
304 ","טרובוביץ משפ
טרובוביץ משפ",פרופ מן קנת,"1955 - 1815
1140 - 1000",Criminal Justice in Israel,משפטים ,"שיעור
שיעור",1411-7044-01
א',א',120 ,מכסיקו,"ד""ר הררי דרור",1800 - 1400,"גוף, חיות, מופע",אמנויות/אמנות התאטרון ,סמינר,0811-4047-01
ב',None,    ,None,"ד""ר אונגר הנריק",None,פילוסופיה בקולנוע,כלים שלובים ,שיעור,1880-0808-01
"א'
א'","ג'
ה'","212 
209 ","מכסיקו
מכסיקו",גב' לפיד צחית,"1000 - 0800
1600 - 1400",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-02
"א'
ב'","ד'
ד'","432 
432 ","שרת
שרת","ד""ר טרש ריקרדו","1930 - 1800
1930 - 1800",שיטות מחקר בייעוץ חינוכי ובחינוך מיוחד,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-7003-01
ב',ה',405 ,רקנאטי,מר ויטאן דני,1600 - 1400,בעיות מתקדמות בחשבונאות ב',ניהול/חשבונאות ,שיעור,1211-3808-03
א',ב',001 ,עבודה סוציאלית,"ד""ר ויינברג-קורניק גליה",1600 - 1400,התיאוריה של הפרקטיקה ג',עבודה סוציאלית ,שיעור,1110-3027-01
"א'
ב'","ב'
ב'","305 
305 ","טרובוביץ משפ
טרובוביץ משפ",פרופ קרייטנר רועי,"2000 - 1800
2000 - 1800",קפיטליזם,מדעים מדויקים ,"סמינר
סמינר",1411-7050-01
ב',א',112 ,כיתות דן דוד,"ד""ר בן-שאול דפנה",1800 - 1400,אתר המופע: מופעים תלויי-מקום ושיח המרחב,אמנויות/אמנות התאטרון ,סמינר,0811-4048-01
ב',None,    ,None,"ד""ר אונגר הנריק",None,"היפה, הנצחי והמאתגר: מהי יצירת מופת?",כלים שלובים ,שיעור,1880-0812-01
"א'
א'","א'
ד'","120 
201 ","מכסיקו
כיתות דן דוד",גב' מרכוס הדס,"1200 - 1000
1400 - 1200",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-03
ב',ה',324 ,שרת,"ד""ר זית זיידמן ענת",1200 - 1000,מבוא למחקר איכותני  ושיטות מעורבות,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-7006-01
א',ד',252 ,רקנאטי,מר בן עמי ערן,1600 - 1400,בעיות מתקדמות בחשבונאות ב',משפטים/חשבונאות ,תרגיל,1211-3808-10
"א'
ב'","ד'
ב'","015 
120 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר טרטקובסקי איבגני","1600 - 1400
1400 - 1200",סמינר אמפירי,עבודה סוציאלית ,"סמינר
סמינר",1110-3028-01
א',ג',102 ,טרובוביץ משפ,"ד""ר גלברד מנחם",1800 - 1600,הפסיכולוגיה של קבלת החלטות למשפטנים,משפטים ,שיעור,1411-7051-30
"א'
ב'","ד'
ד'","209 
212 ","מכסיקו
מכסיקו",פרופ לב-אלגם שולמית,"1600 - 1400
1600 - 1400",קולוקוויום,אמנויות/אמנות התאטרון ,"סמינר
סמינר",0811-4049-01
"א'
א'","ד'
None","110 
    ","נפתלי
None","ד""ר קמפף רונית
פרופ תאני יחיאל דב","1800 - 1600
None",ילידים דיגיטליים,כלים שלובים ,"שיעור
שיעור",1880-1007-01
"ב'
ב'","ב'
ה'","213 
203 ","מכסיקו
כיתות דן דוד",גב' לפיד צחית,"1600 - 1400
1600 - 1400",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-05
א',ה',324 ,שרת,"ד""ר טרש ריקרדו",1000 - 0830,ניתוח נתונים כמותיים: ניתוח שונות,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-7007-01
ב',א',406 ,רקנאטי,מר בן עמי ערן,1200 - 1000,בעיות מתקדמות בחשבונאות ב',ניהול/חשבונאות ,תרגיל,1211-3808-20
"א'
ב'","ד'
ב'","016 
124 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר אבו ריא השאם","1600 - 1400
1400 - 1200",סמינר אמפירי,עבודה סוציאלית ,"סמינר
סמינר",1110-3028-02
ב',ו',203 ,טרובוביץ משפ,מר בכר אליהו,0945 - 0815,היבטים משפטיים בפעילותו של שירות הביטחון הכללי,משפטים ,שיעור,1411-7056-30
ב',א',200 ,מכסיקו,פרופ לב-אלגם שולמית,1400 - 1000,יוצרות בקדמת הבמה: תיאטרון פמיניסטי בישראל,אמנויות/אמנות התאטרון ,סמינר,0811-4050-01
א',א',210 ,נפתלי,פרופ גמאל אמל,2000 - 1800,המקורות הפילוסופיים והאינטלקטואליים של המדעים,כלים שלובים ,שיעור,1880-1008-01
"ב'
ב'","ב'
ה'","213 
213 ","מכסיקו
מכסיקו",גב' סוסמן אב-רון אביבה,"1000 - 0800
1000 - 0800",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-06
ב',ה',318 ,שרת,"ד""ר טרש ריקרדו",1000 - 0800,ניתוח נתונים כמותיים: רגרסיה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-7008-01
ב',ד',407 ,רקנאטי,מר ריעני חי,1600 - 1400,בעיות מתקדמות בחשבונאות ב',ניהול/חשבונאות ,תרגיל,1211-3808-30
"א'
ב'","ד'
ב'","017 
053 ","עבודה סוציאלית
עבודה סוציאלית",פרופ גינזבורג קרני,"1600 - 1400
1400 - 1200",סמינר אמפירי,עבודה סוציאלית ,"סמינר
סמינר",1110-3028-03
א',None,    ,None,  ,None,מבוא למשפט ישראלי,משפטים ,שיעור,1411-7066-66
"ב'
ב'","ד'
ד'","203 
    ","כיתות דן דוד
None","ד""ר שם טוב נפתלי","1400 - 1000
1400 - 1000",פסטיבל עכו,אמנויות/אמנות התאטרון ,"סמינר
סמינר",0811-4051-01
ב',ב',003 ,נפתלי,פרופ שיין יוסף,2000 - 1800,האיש החזק במדינה? היועץ המשפטי לממשלה והפוליטיקה בישראל,כלים שלובים ,שיעור,1880-1009-01
"ב'
ב'","ג'
ה'","212 
212 ","מכסיקו
מכסיקו",גב' סוסמן אב-רון אביבה,"1000 - 0800
1600 - 1400",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-07
"א'
ב'","ה'
ה'","309 
309 ","שרת
שרת",פרופ ישראלאשוילי משה,"1600 - 1430
1600 - 1430",תוכניות מניעה וחיסון,חינוך/היבטים התפתחותיים בחינוך ,"סמינר
סמינר",0721-8000-01
א',א',254 ,רקנאטי,"ד""ר לוי שי",1400 - 1200,סמינר בניתוח דוחות כספיים והערכת שווי חברות,ניהול/חשבונאות ,סמינר,1211-3814-01
"א'
ב'","ד'
ב'","121 
008 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר שילה גיא","1600 - 1400
1400 - 1200",סמינר אמפירי,עבודה סוציאלית ,"סמינר
סמינר",1110-3028-04
א',ו',301 ,טרובוביץ משפ,פרופ שוהם שלמה,0945 - 0815,בין מדעים ומשפט: המשפט המדעי והמדע המשפטי,משפטים ,שיעור,1411-7070-30
"א'
ב'","ב'
ב'","    
    ","None
None",מר אבנרי עירא,"1000 - 0800
1000 - 0800",פרויקטים מתקדמים בבימוי,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-4212-01
ב',ד',    ,None,"ד""ר כהן ענת",1200 - 1000,"האינטרנט - מהויות, היבטים והשלכות",כלים שלובים ,שיעור,1880-1202-01
"ב'
ב'","ב'
ה'","    
    ","None
None",  ,"1600 - 1400
1600 - 1400",אנגלית מתקדמים ב' אמנויות,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-8114-08
