building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מכסיקו,ד',"ד""ר בן-שאול דפנה",אמנות התאטרון ,120 ,א',אמנויות,שיעור,שיטות מחקר של האירוע התאטרוני,0811-1193-01,1200 - 1000
מכסיקו,ג',"ד""ר מלכא-ילין ליאורה",אמנות התאטרון ,206א,ב',אמנויות,שיעור,תולדות התאטרון:ימי הביניים והרנסנס,0811-1195-01,1200 - 1000
מכסיקו,ב',"ד""ר שלגו איגר שלומית",אמנות התאטרון ,115 ,א',אמנויות,שיעור,תולדות הדרמה והתאטרון: יוון ורומא,0811-1200-01,1200 - 1000
קיקואין,ד',"ד""ר אלון חן",אמנות התאטרון ,001 ,ב',אמנויות,שיעור,"תאטרון, חברה, קהילה",0811-1215-01,1200 - 1000
מכסיקו,א',"ד""ר הררי דרור",אמנות התאטרון ,119א,א',אמנויות,שיעור,רוח האוונגרד בתיאטרון המודרני:בין העממי לקיצוני,0811-1233-01,1200 - 1000
מכסיקו,ב',מר פרידמן עודד במבי יצחק,אמנות התאטרון ,207ב,א',אמנויות,שיעור,זרקור על הבמה: מבוא לתאורה,0811-1235-01,1200 - 1000
מכסיקו,ב',מר פרידמן עודד במבי יצחק,אמנות התאטרון ,207ב,ב',אמנויות,שיעור,זרקור על הבמה: מבוא לתאורה,0811-1235-01,1200 - 1000
מכסיקו,ב',פרופ הניג אופירה,אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,מספר בימוי לבמה,0811-1238-01,1600 - 1200
מכסיקו,ב',פרופ הניג אופירה,אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,בימוי באמצעות פרוטוקולים של בתי משפט,0811-1239-01,1900 - 1600
מכסיקו,ב',פרופ הניג אופירה,אמנות התאטרון ,121 ,ב',אמנויות,עבודה מע,בימוי באמצעות פרוטוקולים של בתי משפט,0811-1239-01,1900 - 1600
מכסיקו,ג',"ד""ר הררי דרור",אמנות התאטרון ,213 ,ב',אמנויות,שיעור,אחרים בתיאטרון ובמופע הישראלי,0811-1240-01,1600 - 1400
מכסיקו,ב',גב' ענבר ליהיא,אמנות התאטרון ,208 ,א',אמנויות,תרגיל,תרגיל חובה בתולדות התאטרון יוון ורומא,0811-1323-01,1600 - 1400
מכסיקו,ד',גב' להב יעל,אמנות התאטרון ,213 ,א',אמנויות,תרגיל,תרגיל חובה בתולדות התאטרון יוון ורומא,0811-1323-02,1400 - 1200
מכסיקו,ה',גב' להב יעל,אמנות התאטרון ,212 ,א',אמנויות,תרגיל,תרגיל חובה בתולדות התאטרון יוון ורומא,0811-1323-03,1400 - 1200
מכסיקו,ב',מר צ'ך לוקאס,אמנות התאטרון ,120 ,א',אמנויות,עבודה מע,מבוא לעיצוב לבימאים,0811-1342-01,1500 - 1200
מכסיקו,ג',מר צ'ך לוקאס,אמנות התאטרון ,206ג,ב',אמנויות,עבודה מע,מבוא לעיצוב לבימאים,0811-1342-01,1900 - 1600
מכסיקו,א',"ד""ר הררי דרור",אמנות התאטרון ,206א,ב',אמנויות,שיעור,מבוא לתיאטרון הפוסט מודרני,0811-1343-01,1200 - 1000
מכסיקו,ג',פרופ לב-אלגם שולמית,אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,מטקסט עצמי לעצמי כטקסט,0811-1351-01,1300 - 1000
מכסיקו,ג',פרופ לב-אלגם שולמית,אמנות התאטרון ,121 ,ב',אמנויות,עבודה מע,מטקסט עצמי לעצמי כטקסט,0811-1351-01,1500 - 1200
מכסיקו,ג',מר ניב רפאל,אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,סצינה דרמטית מהדף לבמה,0811-1359-01,1700 - 1400
